osler2003	https://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr125.pdf
osler2005	https://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr150.pdf
abdv2003	https://www.nber.org/system/files/working_papers/w8959/w8959.pdf
chaboud2007	https://www.federalreserve.gov/pubs/ifdp/2007/903/ifdp903.pdf
erbharvey2013	https://www.nber.org/system/files/working_papers/w18706/w18706.pdf
erbharvey2024	https://nftrh.com/wp-content/uploads/2024/05/harvey-erb.pdf
tornellyuan	https://economics.umbc.edu/wp-content/uploads/sites/243/2014/09/wp_09_116.pdf
cftc_study	https://www.cftc.gov/sites/default/files/idc/groups/public/@swaps/documents/file/plstudy_24_ism.pdf
bis405	https://www.bis.org/publications/working-paper-405-information-flows-foreign-exchange-markets-dissecting-customer-currency-trades.pdf
glasserman2023	https://arxiv.org/pdf/2309.17322
lopezlira2023	https://arxiv.org/pdf/2304.07619
bailey2014	https://www.ams.org/notices/201405/rnoti-p458.pdf
